Name,Price,Location,Mileage,URL
2012 Toyota highlander limited awd 4dr suv,·,"Linden, NJ",126K miles,https://www.facebook.comN/A
2006 Toyota matrix XR Sport Wagon 4D,·,"Lockport, NY",116K miles,https://www.facebook.comN/A
2003 Toyota matrix XRS Sport Wagon 4D,·,"Sugarloaf, PA",170K miles,https://www.facebook.comN/A
2012 Toyota yaris LE Hatchback 5D,·,"New York, NY",101K miles,https://www.facebook.comN/A
2021 Toyota sienna LE Minivan 4D,·,"Jamaica, NY",145K miles,https://www.facebook.comN/A
2006 Toyota matrix Xr,·,"Hicksville, NY",105K miles,https://www.facebook.comN/A
2013 Toyota corolla S Sedan 4D,·,"Piscataway, NJ",62K miles,https://www.facebook.comN/A
2006 Toyota matrix XR Sport Wagon 4D,·,"Plainview, NY",105K miles,https://www.facebook.comN/A
2008 Toyota rav4 Limited,·,"Chester, NY",92K miles,https://www.facebook.comN/A
2007 Toyota corolla LE Sedan 4D,·,"Riverside, NJ",88K miles,https://www.facebook.comN/A
2010 Toyota corolla Corrolla s,·,"Trenton, NJ",190K miles,https://www.facebook.comN/A
2016 Mazda mazda6 i Grand Touring Sedan 4D,·,"Clifton, NJ",165K miles,https://www.facebook.comN/A
2003 Honda accord DX Sedan 4D,·,"East Meadow, NY",84K miles,https://www.facebook.comN/A
2018 Toyota corolla LE Sedan 4D,·,"Bayside, NY",53K miles,https://www.facebook.comN/A
2012 Toyota rav4 Limited Sport Utility 4D,·,"Hillside, NJ",164K miles,https://www.facebook.comN/A
2009 Toyota yaris,·,"Bloomingdale, NJ",53K miles,https://www.facebook.comN/A
2009 Toyota corolla,·,"Saddle Brook, NJ",111K miles,https://www.facebook.comN/A
2006 Toyota matrix XR Sport Wagon 4D,·,"Brentwood, NY",150K miles,https://www.facebook.comN/A
1991 Toyota mr2,·,"Brooklyn, NY",100K miles,https://www.facebook.comN/A
2003 Toyota matrix XR Sport Wagon 4D,·,"Sugarloaf, PA",170K miles,https://www.facebook.comN/A
2008 Toyota yaris Hatchback 2D,·,"Newark, NJ",27K miles,https://www.facebook.comN/A
2009 Pontiac vibe GT Sport Wagon 4D,·,"Roselle, NJ",92K miles,https://www.facebook.comN/A
2008 Toyota yaris S Hatchback 2D,·,"Cherry Hill, NJ",34K miles,https://www.facebook.comN/A
2015 Toyota yaris .,·,"New York, NY",190K miles,https://www.facebook.comN/A
2003 Toyota matrix,·,"Hartford, CT",N/A,https://www.facebook.comN/A
2012 Toyota camry SE Sedan 4D,·,"Brooklyn, NY",210K miles,https://www.facebook.comN/A
2003 Toyota corolla S Sedan 4D,·,"Little Falls, NJ",136K miles,https://www.facebook.comN/A
2009 Toyota yaris Hatchback 4D,·,"Mechanicsburg, PA",145K miles,https://www.facebook.comN/A
2011 Toyota Rav 4,·,"Chester, NY",N/A,https://www.facebook.comN/A
2014 Toyota ion XD,·,"Ozone Park, NY",N/A,https://www.facebook.comN/A
2008 Toyota yaris Hatchback 2D,·,"Paterson, NJ",145K miles,https://www.facebook.comN/A
2007 Toyota corolla S Sedan 4D,·,"Perth Amboy, NJ",144K miles,https://www.facebook.comN/A
2007 Toyota matrix Sport Wagon 4D,·,"Westfield, MA",167K miles,https://www.facebook.comN/A
