Name,Price,Location,Mileage,URL
2010 Honda civic LX Sedan 4D,"$6,900","Perth Amboy, NJ",72K miles,https://www.facebook.com/marketplace/item/421205473978421/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1991 Honda civic Lx,"$7,000","Newark, NJ",158K miles,https://www.facebook.com/marketplace/item/1170786623828886/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2001 Honda civic LX Sedan 4D,"$6,500","Burlington, NJ",70K miles,https://www.facebook.com/marketplace/item/413183461342716/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic EX Sedan 4D,"$5,800","Perth Amboy, NJ",150K miles,https://www.facebook.com/marketplace/item/419732854174127/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Acura tsx Sedan 4D,"$6,000","Bronx, NY",105K miles,https://www.facebook.com/marketplace/item/1152589372313241/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda civic EX-L Coupe 2D,"$6,500","Port Jervis, NY",139K miles,https://www.facebook.com/marketplace/item/238922999283794/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda civic LX Sedan 4D,"$3,800","Richmond Hill, NY",155K miles,https://www.facebook.com/marketplace/item/372319558542287/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda cr-z Coupe 2D,"$5,500","Red Bank, NJ",103K miles,https://www.facebook.com/marketplace/item/760362482866629/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda civic EX Coupe 2D,"$4,680","Bay Shore, NY",180K miles,https://www.facebook.com/marketplace/item/960445522052146/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Honda civic,"$1,185","Roselle, NJ",120K miles,https://www.facebook.com/marketplace/item/1155260368829518/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda civic EX-L Sedan 4D,"$4,300","Bay Shore, NY",141K miles,https://www.facebook.com/marketplace/item/3424091407736010/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Honda civic LX Sedan 4D,"$7,000","Brooklyn, NY",150K miles,https://www.facebook.com/marketplace/item/975844107247109/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic LX Sedan 4D,"$5,990","Stamford, CT",169K miles,https://www.facebook.com/marketplace/item/728750469329617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda accord LX-S Coupe 2D,"$7,000","Garfield, NJ",100K miles,https://www.facebook.com/marketplace/item/267923692978660/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Honda civic SE Sedan 4D,"$5,800","Flemington, NJ",119K miles,https://www.facebook.com/marketplace/item/458679553276283/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda civic,"$6,400","Bay Shore, NY",106K miles,https://www.facebook.com/marketplace/item/446872451189986/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda civic Hybrid Sedan 4D,"$4,000","Somerville, NJ",170K miles,https://www.facebook.com/marketplace/item/427371536678901/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic EX Sedan 4D,"$6,200","New York, NY",105K miles,https://www.facebook.com/marketplace/item/3269327696702681/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda civic EX Sedan 4D,"$6,000","Woodhaven, NY",69K miles,https://www.facebook.com/marketplace/item/429389619469145/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda accord EX-L Coupe 2D,"$2,900","Elizabeth, NJ",149K miles,https://www.facebook.com/marketplace/item/1104636283987732/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Honda civic EX Sedan 4D,"$6,800","Spring Valley, NY",114K miles,https://www.facebook.com/marketplace/item/800328418149018/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic,"$5,950","Morristown, NJ",150K miles,https://www.facebook.com/marketplace/item/986918269676410/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic LX Sedan 4D,"$4,475","Morrisville, PA",N/A,https://www.facebook.com/marketplace/item/400006789631694/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda civic Si Coupe 2D,"$3,000","Bridgeport, CT",114K miles,https://www.facebook.com/marketplace/item/1628747767888879/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Honda civic EX-L Sedan 4D,"$6,200","West Hempstead, NY",119K miles,https://www.facebook.com/marketplace/item/766547245548905/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda civic EX Sedan 4D,"$4,500","Rosedale, NY",130K miles,https://www.facebook.com/marketplace/item/408666442051967/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic ex,"$4,600","Kenilworth, NJ",106K miles,https://www.facebook.com/marketplace/item/979236143798454/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Honda accord Sport Sedan 4D,"$3,000","Newark, NJ",61K miles,https://www.facebook.com/marketplace/item/287809901052634/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Honda civic DX Sedan 4D,"$4,700","New York, NY",93K miles,https://www.facebook.com/marketplace/item/416570654559723/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1999 Acura integra LS Sport Coupe 2D,"$6,800","Pearl River, NY",125K miles,https://www.facebook.com/marketplace/item/1488498092069434/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Acura tsx Sedan 4D,"$6,500","Far Rockaway, NY",178K miles,https://www.facebook.com/marketplace/item/413568361621720/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic Ex,"$5,900","Brentwood, NY",153K miles,https://www.facebook.com/marketplace/item/1251267079168980/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic LX Coupe 2D,"$5,000","Jersey City, NJ",124K miles,https://www.facebook.com/marketplace/item/1094475545187320/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Subaru WRX,"$6,000","Lodi, NJ",74K miles,https://www.facebook.com/marketplace/item/739653598187469/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda civic EX Coupe 2D,"$6,800","Kearny, NJ",87K miles,https://www.facebook.com/marketplace/item/406438745635243/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2003 Lexus IS 300 Sedan 4D,"$5,200","Queens Village, NY",116K miles,https://www.facebook.com/marketplace/item/1654856335343737/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic DX Coupe 2D,"$6,800","Oak Ridge, NJ",109K miles,https://www.facebook.com/marketplace/item/392832740195238/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda civic DX Sedan 4D,"$6,900","Shirley, NY",160K miles,https://www.facebook.com/marketplace/item/1579780489544942/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002 Honda civic LX Coupe 2D,"$3,400","Brooklyn, NY",162K miles,https://www.facebook.com/marketplace/item/424028736932348/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Acura tsx Sedan 4D,"$6,099","Perth Amboy, NJ",150K miles,https://www.facebook.com/marketplace/item/1223332261978600/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic,"$4,300","Trenton, NJ",145K miles,https://www.facebook.com/marketplace/item/302926806199462/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda cr-z Coupe 2D,"$4,800","Lakewood, NJ",150K miles,https://www.facebook.com/marketplace/item/809789927152820/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1996 Honda civic DX Hatchback 2D,"$3,750","Jefferson Valley, NY",119K miles,https://www.facebook.com/marketplace/item/413682751398196/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic EX-L Sedan 4D,"$5,500","Allentown, PA",94K miles,https://www.facebook.com/marketplace/item/1120435022427418/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic EX Sedan 4D,"$4,000","Danbury, CT",98K miles,https://www.facebook.com/marketplace/item/461988309662225/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1995 Acura integra GS-R Sport Coupe 2D,"$6,000","Jamaica, NY",153K miles,https://www.facebook.com/marketplace/item/323949263739102/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Honda civic Premium,"$5,900","Poughkeepsie, NY",159K miles,https://www.facebook.com/marketplace/item/3651642288435666/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Honda accord Touring Sedan 4D,"$3,000","Newark, NJ",75K miles,https://www.facebook.com/marketplace/item/382287758016569/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Acura tl 3.2 Sedan 4D,"$6,500","New Brunswick, NJ",162K miles,https://www.facebook.com/marketplace/item/977917153734156/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda cr-v,"$7,000","Haledon, NJ",56K miles,https://www.facebook.com/marketplace/item/2864931510311213/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda civic,"$5,530","Bronx, NY",128K miles,https://www.facebook.com/marketplace/item/759506953024827/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Honda Accord Hybrid,"$6,700","Old Bridge, NJ",90K miles,https://www.facebook.com/marketplace/item/452475710786156/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Acura rsx Sport Coupe 2D,"$4,000","Clifton, NJ",150K miles,https://www.facebook.com/marketplace/item/791327509525380/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
